anomaly_time,equipment,log_time,log_message,similarity,summary
05-03-2025 12:00,Pump_3,05-03-2025 17:00,Sudden drop in temperature at Pump_3,0.2903664,Pump_3 experienced a sudden decrease in temperature.
06-03-2025 11:00,Pump_1,06-03-2025 16:00,Unusual vibration noted in Pump_1,0.37986064,Pump_1 is experiencing unusual vibrations.
07-03-2025 00:00,Pump_2,07-03-2025 03:00,Unusual temperature seen on Pump_2,0.36334288,Pump_2 is experiencing an abnormal temperature reading.
08-03-2025 03:00,Pump_2,07-03-2025 21:00,Vibration spike detected in Pump_2,0.25236365,An abnormal vibration spike was detected in Pump_2.
11-03-2025 20:00,Pump_2,11-03-2025 17:00,Vibration spike detected in Pump_2,0.22083281,An abnormal increase in vibration was detected in Pump_2.
12-03-2025 20:00,Pump_3,13-03-2025 00:00,Low temperature in Pump_3,0.3518282,Pump_3 is experiencing low temperature.
15-03-2025 08:00,Pump_2,15-03-2025 05:00,Low temperature in Pump_2,0.30920857,Pump_2 is experiencing low temperature.
16-03-2025 11:00,Pump_3,16-03-2025 13:00,Unusual temperature seen on Pump_3,0.37246227,Anomalous temperature detected on Pump_3.
18-03-2025 14:00,Pump_1,18-03-2025 18:00,Vibration spike detected in Pump_1,0.27758953,An abnormal increase in vibration was detected in Pump_1.
19-03-2025 14:00,Pump_1,19-03-2025 16:00,Sudden drop in temperature at Pump_1,0.25289485,There was a sudden decrease in temperature at Pump_1.
20-03-2025 17:00,Pump_3,20-03-2025 19:00,Unusual vibration noted in Pump_3,0.3588281,Pump_3 is experiencing an unusual vibration.
23-03-2025 22:00,Pump_3,24-03-2025 00:00,Sudden drop in temperature at Pump_3,0.28724748,Pump_3 experienced a sudden temperature drop.
25-03-2025 12:00,Pump_1,25-03-2025 10:00,Worrying Vibration in Pump_1,0.271786,Operator noticed a worrying vibration in Pump 1.
25-03-2025 21:00,Pump_1,25-03-2025 16:00,Worrying Vibration in Pump_1,0.32536337,Operator logged a worrying vibration in Pump 1.
26-03-2025 02:00,Pump_2,26-03-2025 07:00,High temperature observed on Pump_2,0.3597895,Pump_2 experienced a high temperature.
27-03-2025 07:00,Pump_2,27-03-2025 12:00,High temperature observed on Pump_2,0.3582731,High temperature was detected on Pump_2.
28-03-2025 05:00,Pump_1,28-03-2025 02:00,Temperature spike detected in Pump_1,0.26119173,Pump_1 has experienced a sudden increase in temperature.
28-03-2025 14:00,Pump_3,28-03-2025 17:00,Temperature spike detected in Pump_3,0.30099162,An abnormal increase in temperature was detected in Pump_3.
30-03-2025 14:00,Pump_2,30-03-2025 18:00,High temperature observed on Pump_2,0.35915184,Pump_2 experienced a high temperature.
01-04-2025 23:00,Pump_1,01-04-2025 18:00,Unusual temperature seen on Pump_1,0.33953097,Abnormal temperature detected on Pump_1.
02-04-2025 17:00,Pump_1,02-04-2025 19:00,High temperature observed on Pump_1,0.38695192,Pump_1 experienced a high temperature.
04-04-2025 17:00,Pump_1,04-04-2025 15:00,Temperature spike detected in Pump_1,0.28436708,An abnormal increase in temperature was detected in Pump_1.
05-04-2025 19:00,Pump_2,05-04-2025 21:00,Unusual vibration noted in Pump_2,0.34985977,Pump_2 is experiencing an unusual vibration.
07-04-2025 20:00,Pump_2,07-04-2025 21:00,Low pressure in Pump_2,0.18838534,Pump_2 is experiencing low pressure.
07-04-2025 22:00,Pump_1,07-04-2025 18:00,Unusual temperature seen on Pump_1,0.3322874,Abnormal temperature detected on Pump_1.
09-04-2025 16:00,Pump_1,09-04-2025 18:00,High temperature observed on Pump_1,0.3629189,Pump_1 experienced a high temperature.
09-04-2025 16:00,Pump_2,09-04-2025 22:00,Low temperature in Pump_2,0.30469146,Pump_2 has a low temperature reading.
10-04-2025 04:00,Pump_2,10-04-2025 10:00,Unusual temperature seen on Pump_2,0.37440735,Pump_2 is experiencing an abnormal temperature reading.
